País,Variable,Código CINE,Nivel CINE,Grado,Población,Year,value,Definicion_variable
Colombia,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Total,2018,5698.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Hombres,2018,2879.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Mujeres,2018,2819.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Urbano,2018,4570.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-02,Educación pre-primaria,,Rural,2018,1128.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-1,Educación primaria,,Total,2018,19834.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-1,Educación primaria,,Hombres,2018,10138.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-1,Educación primaria,,Mujeres,2018,9696.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-1,Educación primaria,,Urbano,2018,15321.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-1,Educación primaria,,Rural,2018,4513.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Total,2018,6865.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,2018,3272.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,2018,3593.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Urbano,2018,5776.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-2,Educación secundaria baja,,Rural,2018,1089.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Total,2018,748.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Hombres,2018,344.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Mujeres,2018,404.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Urbano,2018,658.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑔𝑀,CINE-3,Educación secundaria alta,,Rural,2018,90.0,Número de matriculados en situación de movilidad al inicio del año escolar.
Colombia,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Total,2018,84.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Colombia,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Hombres,2018,48.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Colombia,𝐼𝑅𝑔𝑀,CINE-1,Educación primaria,,Mujeres,2018,36.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Colombia,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Total,2018,43.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Colombia,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,2018,26.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Colombia,𝐼𝑅𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,2018,17.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Colombia,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Total,2018,2.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Colombia,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Hombres,2018,2.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Colombia,𝐼𝑅𝑔𝑀,CINE-3,Educación secundaria alta,,Mujeres,2018,0.0,Número de matriculados en situación de movilidad al inicio del año escolar que están en condición de repitentes.
Colombia,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Total,2018,58.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Colombia,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Hombres,2018,35.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Colombia,𝐼𝑅𝑒𝑔𝑀,CINE-02,Educación pre-primaria,,Mujeres,2018,23.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Colombia,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Total,2018,1240.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Colombia,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Hombres,2018,755.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Colombia,𝐼𝑅𝑒𝑔𝑀,CINE-1,Educación primaria,,Mujeres,2018,485.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Colombia,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Total,2018,510.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Colombia,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,2018,277.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Colombia,𝐼𝑅𝑒𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,2018,233.0,Matriculados en situación de movilidad con dos o más años de edad por encima de la edad teórica exigida para el grado que cursan.
Colombia,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Total,2018,1223.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Colombia,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Hombres,2018,622.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Colombia,𝐼𝑅𝐴𝑔𝑀,CINE-1,Educación primaria,,Mujeres,2018,601.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Colombia,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Total,2018,469.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Colombia,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Hombres,2018,232.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Colombia,𝐼𝑅𝐴𝑔𝑀,CINE-2,Educación secundaria baja,,Mujeres,2018,237.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Colombia,𝐼𝑅𝐴𝑔𝑀,CINE-3,Educación secundaria alta,,Total,2018,61.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Colombia,𝐼𝑅𝐴𝑔𝑀,CINE-3,Educación secundaria alta,,Hombres,2018,32.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Colombia,𝐼𝑅𝐴𝑔𝑀,CINE-3,Educación secundaria alta,,Mujeres,2018,29.0,Estudiantes en situación de movilidad retirados por abandono en el año escolar.
Colombia,"𝐼𝐺𝑛,𝑔𝑀",CINE-1,Educación primaria,,Total,2018,3271.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
